n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID,ocid
414,ZD02AAE2BC,IT-CF-00355870221,Comune di Trento,209.95,209.95,"Meano - Acquisto generi alimentari per ""Musica maestro""",23-AFFIDAMENTO DIRETTO,2019-11-23T09:30:00Z,2019-11-23T09:30:00Z,idm8290,ocds-xxxxxx-ZD02AAE2BC
415,IDM8310,IT-CF-00355870221,Comune di Trento,210.0,210.0,Stampa pieghevoli Street art,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-06-07T09:30:00Z,2019-07-19T09:30:00Z,idm8310,ocds-xxxxxx-IDM8310
416,Z2F2771895,IT-CF-00355870221,Comune di Trento,210.0,210.0,QUOTA ISCRIZIONE WORKSHOP RICONOSCERE ED AFFRONTARE I DISAGI LAVORATIVI,23-AFFIDAMENTO DIRETTO,2019-03-13T09:30:00Z,2019-11-04T09:30:00Z,idm8330,ocds-xxxxxx-Z2F2771895
417,Z182AD3B31,IT-CF-00355870221,Comune di Trento,210.0,210.0,Suoni di Quartiere. Stampa n. 2000 cartoline e 100 locandine,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-11-28T09:30:00Z,2019-12-31T09:30:00Z,idm8350,ocds-xxxxxx-Z182AD3B31
418,ZF727D4FDD,IT-CF-00355870221,Comune di Trento,211.56,211.56,"Gardolo - noleggio spazi Centro Sportivo Trento Nord. Iniziativa ""Conosciamo lo sport""",23-AFFIDAMENTO DIRETTO,2019-09-17T09:30:00Z,2019-09-18T09:30:00Z,idm8370,ocds-xxxxxx-ZF727D4FDD
419,Z662B0DD1C,IT-CF-00355870221,Comune di Trento,214.29,214.29,"Meano - Acquisto generi alimentari per ""Natale in famiglia""",23-AFFIDAMENTO DIRETTO,2019-12-21T09:30:00Z,2019-12-21T09:30:00Z,idm8390,ocds-xxxxxx-Z662B0DD1C
420,Z3E28111D8,IT-CF-00355870221,Comune di Trento,214.54,214.54,"OSPITALITA' RELATORI PER EVENTO ""IL GRANDE IMPIANTO PER MONTE BONDONE"" - SERATE INFORMATIVE  18.04",23-AFFIDAMENTO DIRETTO,2019-04-16T09:30:00Z,2019-04-18T09:30:00Z,idm8410,ocds-xxxxxx-Z3E28111D8
421,Z2A2A33446,IT-CF-00355870221,Comune di Trento,214.76,214.67,"affilatura coltelli cucine scuole provinciali per l'infanzia Piedicastello, Roncafort, Cristo Re, Torrione e Solteri",23-AFFIDAMENTO DIRETTO,,,idm8430,ocds-xxxxxx-Z2A2A33446
422,Z3A2A871F2,IT-CF-00355870221,Comune di Trento,218.0,0.0,"Meano - Acquisto generi alimentari per ""Jazz a Teatro""",23-AFFIDAMENTO DIRETTO,2019-11-10T09:30:00Z,2019-11-10T09:30:00Z,idm8448,ocds-xxxxxx-Z3A2A871F2
423,IDM8468,IT-CF-00355870221,Comune di Trento,221.0,221.0,Notifica atti giudiziari,23-AFFIDAMENTO DIRETTO,2019-01-02T09:30:00Z,2019-01-02T09:30:00Z,idm8468,ocds-xxxxxx-IDM8468
424,ZCB2AEAA17,IT-CF-00355870221,Comune di Trento,226.54,226.54,"Gardolo - Acquisto generi alimentari per ""Strozega a Roncafort""",23-AFFIDAMENTO DIRETTO,2019-12-12T09:30:00Z,2019-12-12T09:30:00Z,idm8488,ocds-xxxxxx-ZCB2AEAA17
425,Z022A5847B,IT-CF-00355870221,Comune di Trento,231.95,231.95,ACQUISTO TERMOMETRI SONDA CAMPIONE PER FRIGORIFERI E FREEZER DEI NIDI D'INFANZIA,23-AFFIDAMENTO DIRETTO,,,idm8508,ocds-xxxxxx-Z022A5847B
426,IDM8526,IT-CF-00355870221,Comune di Trento,240.0,0.0,fornitura biglietti dell'autobus,23-AFFIDAMENTO DIRETTO,2019-04-04T09:30:00Z,,idm8526,ocds-xxxxxx-IDM8526
427,Z3E29FD10C,IT-CF-00355870221,Comune di Trento,240.0,240.0,CORSO DPI DI III CATEGORIA: ANTICADUTA,23-AFFIDAMENTO DIRETTO,2019-10-07T09:30:00Z,2019-10-07T09:30:00Z,idm8545,ocds-xxxxxx-Z3E29FD10C
428,Z2E2771850,IT-CF-00355870221,Comune di Trento,240.0,240.0,QUOTA ISCRIZIONE CORSO DALLE SEPARAZIONI CONFLITTUALI AL RIFIUTO,23-AFFIDAMENTO DIRETTO,2019-04-10T09:30:00Z,2019-06-05T09:30:00Z,idm8565,ocds-xxxxxx-Z2E2771850
429,ZC929E27BB,IT-CF-00355870221,Comune di Trento,243.0,243.0,Interventi di manutenzione ordinaria su dispositivi di guida ai parcheggi,23-AFFIDAMENTO DIRETTO,2019-09-26T09:30:00Z,2019-10-30T09:30:00Z,idm8585,ocds-xxxxxx-ZC929E27BB
430,Z9025A52A5,IT-CF-00355870221,Comune di Trento,244.5,244.5,Fornitura 50 magliette personalizzate,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-10-24T09:30:00Z,2019-12-04T09:30:00Z,idm8605,ocds-xxxxxx-Z9025A52A5
431,Z1A28DE684,IT-CF-00355870221,Comune di Trento,245.0,245.0,FORNITURA  GADGET PER INIZIATIVA CASA RIPOSO,23-AFFIDAMENTO DIRETTO,2019-06-18T09:30:00Z,2019-08-30T09:30:00Z,idm8652,ocds-xxxxxx-Z1A28DE684
432,ZC42755642,IT-CF-00355870221,Comune di Trento,250.0,250.0,SERVICE AUDIO PER CERIMONIA SCOPERTURA TARGA MARESCIALLO MASSARELLI - 14 MARZO 2019,23-AFFIDAMENTO DIRETTO,2019-03-12T09:30:00Z,2019-03-14T09:30:00Z,idm8672,ocds-xxxxxx-ZC42755642
433,Z4028BB816,IT-CF-00355870221,Comune di Trento,250.0,250.0,SERVIZIO FOTOGRAFICO INCONTRO ISTITUZIONALE - 19.06.2019,23-AFFIDAMENTO DIRETTO,2019-06-06T09:30:00Z,2019-06-19T09:30:00Z,idm8692,ocds-xxxxxx-Z4028BB816
434,Z252AA257F,IT-CF-00355870221,Comune di Trento,250.0,0.0,"Villazzano - organizzazione dell'iniziativa ""Festa dei 18^ anni""",23-AFFIDAMENTO DIRETTO,2019-11-22T09:30:00Z,2019-11-22T09:30:00Z,idm8712,ocds-xxxxxx-Z252AA257F
435,Z0C2A7E80C,IT-CF-00355870221,Comune di Trento,250.0,250.0,"Trento, citta del Natale 2019. Concerto bandistico inaugurazione albero Natale.",23-AFFIDAMENTO DIRETTO,2018-11-23T09:30:00Z,2018-11-23T09:30:00Z,idm8732,ocds-xxxxxx-Z0C2A7E80C
436,Z242A9D0E8,IT-CF-00355870221,Comune di Trento,250.0,250.0,CORSO I PERCORSI E GLI ADOLESCENTI COMPLESSI,23-AFFIDAMENTO DIRETTO,2019-11-22T09:30:00Z,2019-11-22T09:30:00Z,idm8746,ocds-xxxxxx-Z242A9D0E8
437,Z722A799A6,IT-CF-00355870221,Comune di Trento,252.05,252.03,ACQUISTO MATERIALE PER PROGETTO ORTO SCUOLE INFANZIA,23-AFFIDAMENTO DIRETTO,,,idm8766,ocds-xxxxxx-Z722A799A6
438,ZCE2901FA9,IT-CF-00355870221,Comune di Trento,254.0,254.0,FORNITURA CARTA TERMICA FRIENDLYWAY,23-AFFIDAMENTO DIRETTO,2019-06-28T09:30:00Z,2019-09-11T09:30:00Z,idm8784,ocds-xxxxxx-ZCE2901FA9
439,ZC329FCFA3,IT-CF-00355870221,Comune di Trento,259.62,259.62,Circ. 6 Argentario Acquisto nr. 6+1 QrCode per iniziativa Argentario Day,23-AFFIDAMENTO DIRETTO,2019-10-02T09:30:00Z,2019-10-05T09:30:00Z,idm8804,ocds-xxxxxx-ZC329FCFA3
440,ZD7283DEA0,IT-CF-00355870221,Comune di Trento,260.0,260.0,QUOTA ISCRIZIONE CORSO DI FORMAZIONE PROF.LE PER COORDINATORI DI CONCORSI,23-AFFIDAMENTO DIRETTO,2019-05-10T09:30:00Z,2019-05-31T09:30:00Z,idm8824,ocds-xxxxxx-ZD7283DEA0
441,Z1A299B83E,IT-CF-00355870221,Comune di Trento,260.0,0.0,"Povo - fornitura generi alimentari per iniziativa ""Festa d'autunno""",23-AFFIDAMENTO DIRETTO,2019-09-19T09:30:00Z,2019-09-19T09:30:00Z,idm8844,ocds-xxxxxx-Z1A299B83E
442,Z962A7D55B,IT-CF-00355870221,Comune di Trento,260.0,260.0,Acquisto bulloni per allestimento piazza Santa Maria Maggiore,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-11-19T09:30:00Z,,idm8864,ocds-xxxxxx-Z962A7D55B
443,IDM8883,IT-CF-00355870221,Comune di Trento,262.3,262.3,ACQUISTO MATERIALE PER IL PROGETTO ORTO SCUOLA PROVINCIALE DELL'INFANZIA MASO GINOCCHIO,23-AFFIDAMENTO DIRETTO,,,idm8883,ocds-xxxxxx-IDM8883
444,ZAD2B4F8AE,IT-CF-00355870221,Comune di Trento,262.5,262.5,fornitura corde metriche per Polizia Locale,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-12-20T09:30:00Z,2020-01-03T09:30:00Z,idm8901,ocds-xxxxxx-ZAD2B4F8AE
445,Z65260F166,IT-CF-00355870221,Comune di Trento,265.0,265.0,Fornitura n. 5 lanterne semaforiche per manutenzione ordinaria,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2018-12-03T09:30:00Z,2018-12-31T09:30:00Z,idm8936,ocds-xxxxxx-Z65260F166
446,IDM8956,IT-CF-00355870221,Comune di Trento,267.4,267.4,"Gardolo - Acquisto generi alimentari per ""Pomeriggi presso il Polo Sociale""",23-AFFIDAMENTO DIRETTO,2018-11-14T09:30:00Z,2018-12-19T09:30:00Z,idm8956,ocds-xxxxxx-IDM8956
447,Z45298BA20,IT-CF-00355870221,Comune di Trento,268.4,268.4,Circ. 6 Argentario - Acquisto pagine giornalino Sagra Santo Rosario per informazione attivita circoscrizionale,23-AFFIDAMENTO DIRETTO,2019-08-23T09:30:00Z,2019-09-30T09:30:00Z,idm8976,ocds-xxxxxx-Z45298BA20
448,Z6F28D928E,IT-CF-00355870221,Comune di Trento,270.0,270.0,servizio di affissione banner promozionale su parete ostello - Contrada larga e cinema in cortile,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-07-02T09:30:00Z,2019-08-29T09:30:00Z,idm8996,ocds-xxxxxx-Z6F28D928E
449,Z152B0DBDE,IT-CF-00355870221,Comune di Trento,271.29,271.29,"Meano - Acquisto generi alimentari per ""Natale con gli anziani""",23-AFFIDAMENTO DIRETTO,2019-12-16T09:30:00Z,2019-12-16T09:30:00Z,idm9016,ocds-xxxxxx-Z152B0DBDE
450,ZDF26E4013,IT-CF-00355870221,Comune di Trento,272.0,272.0,QUOTA ISCRIZIONE CORSO LE MODIFICHE PREVIDENZIALI DAL 2011 A OGGI,23-AFFIDAMENTO DIRETTO,2019-02-13T09:30:00Z,2019-02-13T09:30:00Z,idm9036,ocds-xxxxxx-ZDF26E4013
451,Z92286DC67,IT-CF-00355870221,Comune di Trento,272.0,0.0,"Gardolo - Acquisto generi alimentari per ""Pomeriggi presso il Polo Sociale"" - Incontro conviviale",23-AFFIDAMENTO DIRETTO,2019-05-29T09:30:00Z,2019-05-29T09:30:00Z,idm9056,ocds-xxxxxx-Z92286DC67
452,ZC12AFE416,IT-CF-00355870221,Comune di Trento,272.0,0.0,"Gardolo - Acquisto generi alimentari per ""Natale con le Associazioni""",23-AFFIDAMENTO DIRETTO,2019-12-19T09:30:00Z,2019-12-19T09:30:00Z,idm9076,ocds-xxxxxx-ZC12AFE416
453,ZA728CCFD4,IT-CF-00355870221,Comune di Trento,274.0,274.0,Servizio utilizzo software SketchUp Pro,23-AFFIDAMENTO DIRETTO,2019-06-13T09:30:00Z,2020-06-12T09:30:00Z,idm9096,ocds-xxxxxx-ZA728CCFD4
454,IDM9116,IT-CF-00355870221,Comune di Trento,280.33,280.32,ACQUISTO MATERIALE PER IL PROGETTO ORTO SCUOLA PROVINCIALE DELL'INFANZIA RODARI,23-AFFIDAMENTO DIRETTO,,,idm9116,ocds-xxxxxx-IDM9116
455,Z552B36876,IT-CF-00355870221,Comune di Trento,281.28,0.0,Asilo nido di Vigolo Baselga - manutenzione impianti antintrusione conseguenti lavori di adeguamento antincendio,23-AFFIDAMENTO DIRETTO,2019-12-19T09:30:00Z,,idm9134,ocds-xxxxxx-Z552B36876
456,ZBD26DE588,IT-CF-00355870221,Comune di Trento,282.0,282.0,FORNITURA CASSAFORTI PER SERVIZI DEMOGRAFICI PIEDICASTELLO E TRIBUTI,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-02-06T09:30:00Z,2019-03-22T09:30:00Z,idm9153,ocds-xxxxxx-ZBD26DE588
457,Z4A29AAB97,IT-CF-00355870221,Comune di Trento,286.0,286.0,FORNITURA DI N.1 CONTA/SEPARA MONETE,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-13T09:30:00Z,2019-11-20T09:30:00Z,idm9188,ocds-xxxxxx-Z4A29AAB97
458,ZD7284534D,IT-CF-00355870221,Comune di Trento,286.89,0.0,"Gardolo - Incarico per  organizzazione ""Tutti a canestro""",23-AFFIDAMENTO DIRETTO,2019-05-07T09:30:00Z,2019-05-28T09:30:00Z,idm9220,ocds-xxxxxx-ZD7284534D
459,Z7E2977449,IT-CF-00355870221,Comune di Trento,288.0,288.0,FORNITURA COPIE LIBRI,23-AFFIDAMENTO DIRETTO,2019-08-08T09:30:00Z,2019-08-08T09:30:00Z,idm9240,ocds-xxxxxx-Z7E2977449
460,ZE62833A07,IT-CF-00355870221,Comune di Trento,288.75,288.75,FORNITURA LIBRI PER OMAGGIO,23-AFFIDAMENTO DIRETTO,2019-04-30T09:30:00Z,2019-12-31T09:30:00Z,idm9260,ocds-xxxxxx-ZE62833A07
461,Z032A107A4,IT-CF-00355870221,Comune di Trento,292.01,0.0,Noleggio di un monoblocco uso ufficio - Accoglienza camper 2019,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-12-05T09:30:00Z,2019-12-09T09:30:00Z,idm9280,ocds-xxxxxx-Z032A107A4
462,ZBF2A839A1,IT-CF-00355870221,Comune di Trento,293.0,293.0,Circ. 6 Argentario Fornitura QRCode per iniziativa Argentario Day - Autunno 2019,22-PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),2019-11-06T09:30:00Z,2019-12-31T09:30:00Z,idm9300,ocds-xxxxxx-ZBF2A839A1
463,ZC12727659,IT-CF-00355870221,Comune di Trento,295.3,295.3,ACQUISTO CARTONCINO BIANCO USOMANO PER STAMPERIA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-02-12T09:30:00Z,2019-04-11T09:30:00Z,idm9320,ocds-xxxxxx-ZC12727659
464,ZB22B0C965,IT-CF-00355870221,Comune di Trento,296.0,296.0,Rete Riserve Bondone. Organizzazione e accompagnamento in Loc. Viote,23-AFFIDAMENTO DIRETTO,2019-12-22T09:30:00Z,2019-12-22T09:30:00Z,idm9343,ocds-xxxxxx-ZB22B0C965
465,Z6C28DE516,IT-CF-00355870221,Comune di Trento,300.0,300.0,RINFRESCO OFFERTO IN OCCASIONE CERIMONIA A PALAZZO GEREMIA,23-AFFIDAMENTO DIRETTO,2019-06-18T09:30:00Z,2019-06-19T09:30:00Z,idm9363,ocds-xxxxxx-Z6C28DE516
466,Z5425F3591,IT-CF-00355870221,Comune di Trento,300.0,300.0,"Meano - incarico peer organizzazione ""Progetto scuola""",23-AFFIDAMENTO DIRETTO,2018-12-13T09:30:00Z,2018-12-14T09:30:00Z,idm9383,ocds-xxxxxx-Z5425F3591
467,ZFA24B3533,IT-CF-00355870221,Comune di Trento,300.0,300.0,Servizio cloud,23-AFFIDAMENTO DIRETTO,2018-09-19T09:30:00Z,2020-09-19T09:30:00Z,idm9403,ocds-xxxxxx-ZFA24B3533
468,Z032A69D2A,IT-CF-00355870221,Comune di Trento,300.0,300.0,SERVIZIO STAMPA FOTO,23-AFFIDAMENTO DIRETTO,2019-10-30T09:30:00Z,2019-12-19T09:30:00Z,idm9423,ocds-xxxxxx-Z032A69D2A
469,Z3D27FA3DC,IT-CF-00355870221,Comune di Trento,300.0,300.0,"Meano - Incarico per organizzazione ""Progetto scuola""",23-AFFIDAMENTO DIRETTO,2019-04-12T09:30:00Z,2019-04-12T09:30:00Z,idm9443,ocds-xxxxxx-Z3D27FA3DC
470,Z6127BEFA5,IT-CF-00355870221,Comune di Trento,300.0,300.0,RINFRESCO PER EVENTO,23-AFFIDAMENTO DIRETTO,2019-03-26T09:30:00Z,2019-03-29T09:30:00Z,idm9463,ocds-xxxxxx-Z6127BEFA5
471,ZC029D3AF9,IT-CF-00355870221,Comune di Trento,300.0,300.0,Circ. 6 Argentario - Montaggio tendone per Festa dello Sport 2019,23-AFFIDAMENTO DIRETTO,2019-09-19T09:30:00Z,2019-09-29T09:30:00Z,idm9483,ocds-xxxxxx-ZC029D3AF9
472,Z2216826B8,IT-CF-00355870221,Comune di Trento,300.0,300.0,Palazzina Liberty Piazza Dante - interfaccia GSM per ascensore,23-AFFIDAMENTO DIRETTO,2015-10-15T09:30:00Z,2015-10-28T09:30:00Z,idm9503,ocds-xxxxxx-Z2216826B8
473,Z7B2623405,IT-CF-00355870221,Comune di Trento,300.0,0.0,Mattarello - acquisto beni per serata pubblica,23-AFFIDAMENTO DIRETTO,2018-12-21T09:30:00Z,2018-12-21T09:30:00Z,idm9520,ocds-xxxxxx-Z7B2623405
474,ZFA2A21336,IT-CF-00355870221,Comune di Trento,300.0,0.0,"Povo - fornitura generi alimentari per iniziativa ""Castagnata al Dos di Sant'Agata""",23-AFFIDAMENTO DIRETTO,2019-10-19T09:30:00Z,2019-10-19T09:30:00Z,idm9540,ocds-xxxxxx-ZFA2A21336
475,Z4929A27F0,IT-CF-00355870221,Comune di Trento,303.29,303.29,CONVEGNO AFFRONTARE LA VIOLENZA SULLE DONNE,23-AFFIDAMENTO DIRETTO,2019-10-18T09:30:00Z,2019-10-19T09:30:00Z,idm9560,ocds-xxxxxx-Z4929A27F0
476,ZC2259AC0B,IT-CF-00355870221,Comune di Trento,306.0,306.0,"Spogliatoi e locali annessi a servizio del gruppo sportivo ""Cristo Re"" p.ed. 2803/2 C.C. Trento - opera 608817 - incarico per redazione nota geoambientale",23-AFFIDAMENTO DIRETTO,2018-10-29T09:30:00Z,2019-06-25T09:30:00Z,idm9580,ocds-xxxxxx-ZC2259AC0B
477,Z3429E5DB2,IT-CF-00355870221,Comune di Trento,315.28,0.0,Affidamento del servizio di assistenza di n. 1 defibrillatore semiautomatico collocato presso il bocciodromo di proprieta comunale sito in via Fermi n. 35 a Trento,23-AFFIDAMENTO DIRETTO,2019-11-05T09:30:00Z,,idm9600,ocds-xxxxxx-Z3429E5DB2
478,IDM9619,IT-CF-00355870221,Comune di Trento,317.4,317.4,Acquisto modulistica,23-AFFIDAMENTO DIRETTO,2019-03-08T09:30:00Z,2019-03-08T09:30:00Z,idm9619,ocds-xxxxxx-IDM9619
479,Z9A29C62D5,IT-CF-00355870221,Comune di Trento,320.0,320.0,Intervento manutenzione ordinaria storage,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,2019-09-16T09:30:00Z,2019-09-30T09:30:00Z,idm9639,ocds-xxxxxx-Z9A29C62D5
480,ZBD279223A,IT-CF-00355870221,Comune di Trento,320.0,320.0,QUOTA ISCRIZIONE CORSO GOOGLE ANALYTICS,23-AFFIDAMENTO DIRETTO,2019-04-04T09:30:00Z,2019-04-04T09:30:00Z,idm9659,ocds-xxxxxx-ZBD279223A
481,ZF32971B39,IT-CF-00355870221,Comune di Trento,320.0,320.0,Fornitura n. 1.000 buste a sacco con cartoncino applicato per concorsi,23-AFFIDAMENTO DIRETTO,2019-08-08T09:30:00Z,2019-09-30T09:30:00Z,idm9679,ocds-xxxxxx-ZF32971B39
482,Z67281BAC0,IT-CF-00355870221,Comune di Trento,322.0,322.0,ORGANIZZAZIONE TRASFERTA BOLOGNA/ROMA AMMINISTRATORE - 15/17 APRILE,23-AFFIDAMENTO DIRETTO,2019-04-15T09:30:00Z,2019-04-17T09:30:00Z,idm9711,ocds-xxxxxx-Z67281BAC0
483,IDM9731,IT-CF-00355870221,Comune di Trento,324.0,324.0,Affidamento incarico progetto Giocosport 2017/2018 - Disciplina sportiva Pattinaggio Artistico,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2017-10-25T09:30:00Z,2019-01-07T09:30:00Z,idm9731,ocds-xxxxxx-IDM9731
484,Z8E2AD97C9,IT-CF-00355870221,Comune di Trento,324.18,324.18,ACQUISTO ETICHETTE PERSONALIZZATE E RIBBON PER STAMPANTE ZEBRA GK420t,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-11-07T09:30:00Z,2020-02-17T09:30:00Z,idm9745,ocds-xxxxxx-Z8E2AD97C9
485,Z1F2834033,IT-CF-00355870221,Comune di Trento,327.87,327.87,"Realizzazione di una dimostrazione sulla lavorazione del lino ""Dalla pianta alla tessitura""",23-AFFIDAMENTO DIRETTO,2019-05-18T09:30:00Z,2019-05-18T09:30:00Z,idm9768,ocds-xxxxxx-Z1F2834033
486,ZA0217AE3A,IT-CF-00355870221,Comune di Trento,327.87,327.87,"Meano - Incarico per organizzazione ""Torneo di Natale""",23-AFFIDAMENTO DIRETTO,2017-12-30T09:30:00Z,2017-12-30T09:30:00Z,idm9788,ocds-xxxxxx-ZA0217AE3A
487,Z4728B8020,IT-CF-00355870221,Comune di Trento,333.0,333.0,AFFIDAMENTO CONTRATTO DI ASSISTENZA TECNICA PER APPARECCHIATURA ?TARGA LA BICI? -  ANNO 2019.,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm9808,ocds-xxxxxx-Z4728B8020
488,Z5F257E9CC,IT-CF-00355870221,Comune di Trento,338.0,338.0,"SERVIZIO ASSICURATIVO RELATIVO A POLIZZA KASKO, FURTO, INCENDIO E RISCHI DIVERSI DEI VEICOLI DELL'ENTE",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2018-11-01T09:30:00Z,,idm9828,ocds-xxxxxx-Z5F257E9CC
489,ZFA2845CBC,IT-CF-00355870221,Comune di Trento,338.0,338.0,Campo sportivo Solteri  - stacco contatore uso potabile,23-AFFIDAMENTO DIRETTO,2019-05-10T09:30:00Z,2019-05-15T09:30:00Z,idm9847,ocds-xxxxxx-ZFA2845CBC
490,IDM9867,IT-CF-00355870221,Comune di Trento,343.0,343.0,Acquisto 100 copie Costituzione italiana,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-11T09:30:00Z,2019-09-16T09:30:00Z,idm9867,ocds-xxxxxx-IDM9867
491,Z7C2858727,IT-CF-00355870221,Comune di Trento,344.7,344.7,ORGANIZZAZIONE VIAGGIO AMMINISTRATORE - ROMA 14/15 MAGGIO 2019,23-AFFIDAMENTO DIRETTO,2019-05-08T09:30:00Z,2019-05-15T09:30:00Z,idm9887,ocds-xxxxxx-Z7C2858727
492,ZE62AE2915,IT-CF-00355870221,Comune di Trento,345.0,364.0,Fornitura di buffet salato e dolce per festa dei cittadini attivi,23-AFFIDAMENTO DIRETTO,2019-11-28T09:30:00Z,2019-12-09T09:30:00Z,idm9907,ocds-xxxxxx-ZE62AE2915
493,Z302AFE439,IT-CF-00355870221,Comune di Trento,347.16,347.17,"Gardolo - Acquisto generi alimentari per ""Auguri sotto l'albero""",23-AFFIDAMENTO DIRETTO,2019-12-24T09:30:00Z,2019-12-24T09:30:00Z,idm9930,ocds-xxxxxx-Z302AFE439
494,Z63286DC7B,IT-CF-00355870221,Comune di Trento,348.39,348.39,"Gardolo - Acquisto generi alimentari per ""Giornata dello sport""",23-AFFIDAMENTO DIRETTO,2019-05-29T09:30:00Z,2019-05-29T09:30:00Z,idm9950,ocds-xxxxxx-Z63286DC7B
495,ZE6281A227,IT-CF-00355870221,Comune di Trento,350.0,350.0,"Meano - Incarico per organizzazione ""Concerto di Pasqua""",23-AFFIDAMENTO DIRETTO,2019-04-21T09:30:00Z,2019-04-21T09:30:00Z,idm9970,ocds-xxxxxx-ZE6281A227
496,ZBA2C2AF52,IT-CF-00355870221,Comune di Trento,350.0,0.0,Servizio di montaggio e smontaggio della pedana in piazza Duomo per Carnevale,23-AFFIDAMENTO DIRETTO,2020-02-21T09:30:00Z,2020-02-26T09:30:00Z,idm9990,ocds-xxxxxx-ZBA2C2AF52
497,Z6D29BC693,IT-CF-00355870221,Comune di Trento,350.0,350.0,"acquisto generi di conforto per ""festa dello sport""",23-AFFIDAMENTO DIRETTO,2019-09-28T09:30:00Z,2019-09-28T09:30:00Z,idm10010,ocds-xxxxxx-Z6D29BC693
498,ZB0280500B,IT-CF-00355870221,Comune di Trento,350.0,350.0,FORNITURA MATERIALE PER OMAGGIO ISTITUZIONALE,23-AFFIDAMENTO DIRETTO,2019-04-12T09:30:00Z,2019-04-25T09:30:00Z,idm10030,ocds-xxxxxx-ZB0280500B
499,ZB229B23C9,IT-CF-00355870221,Comune di Trento,352.0,352.0,CORSO GLI ADEMPIMENTI POST-AGGIUDICAZIONE.,23-AFFIDAMENTO DIRETTO,2019-09-26T09:30:00Z,2019-09-26T09:30:00Z,idm10050,ocds-xxxxxx-ZB229B23C9
500,ZAF29EC66C,IT-CF-00355870221,Comune di Trento,352.8,0.0,FORNITURA GUIDA TURISTICA TRENTO,23-AFFIDAMENTO DIRETTO,2019-09-20T09:30:00Z,2019-10-15T09:30:00Z,idm10070,ocds-xxxxxx-ZAF29EC66C
501,Z7626C9E87,IT-CF-00355870221,Comune di Trento,360.0,360.0,QUOTA ISCRIZIONE CORSO LABORATORIO DI FUTURO,23-AFFIDAMENTO DIRETTO,2019-01-30T09:30:00Z,2019-06-24T09:30:00Z,idm10090,ocds-xxxxxx-Z7626C9E87
502,Z4427D46D6,IT-CF-00355870221,Comune di Trento,360.0,360.0,Affidamento incarico per servizio catering presso Muse Cafe di Trento in occasione della premiazione finale dell'iniziativa ?Trento e Rovereto Play 1; Go?,23-AFFIDAMENTO DIRETTO,2019-04-12T09:30:00Z,2019-05-14T09:30:00Z,idm10110,ocds-xxxxxx-Z4427D46D6
503,Z822A2C997,IT-CF-00355870221,Comune di Trento,360.0,360.0,CORSO LA GESTIONE DELLA GARA PER L'AFFIDAMENTO DI CONCESSIONI DI SERVIZI,23-AFFIDAMENTO DIRETTO,2019-10-24T09:30:00Z,2019-10-24T09:30:00Z,idm10130,ocds-xxxxxx-Z822A2C997
504,ZB129754EE,IT-CF-00355870221,Comune di Trento,363.0,363.0,FORNITURA VINI PER OMAGGI,23-AFFIDAMENTO DIRETTO,2019-08-07T09:30:00Z,2019-08-07T09:30:00Z,idm10150,ocds-xxxxxx-ZB129754EE
505,IDM10170,IT-CF-00355870221,Comune di Trento,364.0,364.0,Notifica atti giudiziari,23-AFFIDAMENTO DIRETTO,2018-12-19T09:30:00Z,2018-12-19T09:30:00Z,idm10170,ocds-xxxxxx-IDM10170
506,ZFA29F591E,IT-CF-00355870221,Comune di Trento,366.0,366.0,Pubblicazione su Il Giornale bando acquisto nuovi mezzi e attrezzature 2019,23-AFFIDAMENTO DIRETTO,2019-10-04T09:30:00Z,2019-10-04T09:30:00Z,idm10190,ocds-xxxxxx-ZFA29F591E
